abr 10, 2018 8:02:18 PM org.apache.karaf.main.Main launch
INFORMACIÓN: Installing and starting initial bundles
abr 10, 2018 8:02:19 PM org.apache.karaf.main.Main launch
INFORMACIÓN: All initial bundles installed and set to start
abr 10, 2018 8:02:19 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Trying to lock C:\Users\camil\Downloads\apache-servicemix-7.0.1\lock
abr 10, 2018 8:02:19 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Lock acquired
abr 10, 2018 8:02:19 PM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFORMACIÓN: Lock acquired. Setting startlevel to 100
2018-04-10 20:02:19,952 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from org.ops4j.pax.url.mvn.cfg
2018-04-10 20:02:19,994 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from org.apache.felix.fileinstall-deploy.cfg
2018-04-10 20:02:20,051 | INFO  | lixDispatchQueue | Main                             |  -  -  | Karaf started in 0s. Bundle stats: 9 active, 9 total
2018-04-10 20:02:21,139 | WARN  | pool-1-thread-2  | JaxbUtil                         | 8 - org.apache.karaf.features.core - 4.0.9 | Old style feature file without namespace found (URI: mvn:org.apache.activemq/activemq-karaf/5.14.5/xml/features). This format is deprecated and support for it will soon be removed
2018-04-10 20:02:21,347 | INFO  | pool-1-thread-2  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 | Adding features: aries-blueprint/[4.0.9,4.0.9], bundle/[4.0.9,4.0.9], config/[4.0.9,4.0.9], deployer/[4.0.9,4.0.9], diagnostic/[4.0.9,4.0.9], feature/[4.0.9,4.0.9], instance/[4.0.9,4.0.9], jaas/[4.0.9,4.0.9], kar/[4.0.9,4.0.9], log/[4.0.9,4.0.9], management/[4.0.9,4.0.9], package/[4.0.9,4.0.9], service/[4.0.9,4.0.9], shell/[4.0.9,4.0.9], shell-compat/[4.0.9,4.0.9], ssh/[4.0.9,4.0.9], system/[4.0.9,4.0.9], wrap/[0,0.0.0], war/[4.0.9,4.0.9], camel/[2.16.5,2.16.5], camel-blueprint/[2.16.5,2.16.5], camel-jms/[2.16.5,2.16.5], camel-xstream/[2.16.5,2.16.5], camel-cxf/[2.16.5,2.16.5], activemq-camel/[5.14.5,5.14.5], activemq-broker-noweb/[5.14.5,5.14.5], activemq-blueprint/[5.14.5,5.14.5], cxf/[3.1.9,3.1.9], servicemix-messaging/[7.0.1,7.0.1]
2018-04-10 20:02:24,674 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 | Changes to perform:
2018-04-10 20:02:24,674 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |   Region: root
2018-04-10 20:02:24,675 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |     Bundles to install:
2018-04-10 20:02:24,675 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:org.apache.activemq/activemq-karaf/5.14.5
2018-04-10 20:02:24,675 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.6.3
2018-04-10 20:02:24,676 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.9 |       mvn:com.fasterxml.jackson.core/jackson-core/2.6.3
