2018-04-10 20:15:40,742 | INFO  | //amq-broker#1-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:15:40,742 | INFO  | //amq-broker#1-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:16:41,089 | INFO  | .0.1:53125@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:16:41,089 | INFO  | .0.1:53125@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:19:16,048 | INFO  | .0.1:53134@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:19:16,048 | INFO  | .0.1:53134@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:28:16,726 | INFO  | .0.1:53207@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:28:16,726 | INFO  | .0.1:53207@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:31:07,138 | INFO  | //amq-broker#3-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:31:07,139 | INFO  | //amq-broker#3-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:31:37,805 | INFO  | .0.1:53264@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:31:37,805 | INFO  | .0.1:53264@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:42:03,348 | INFO  | //amq-broker#5-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:42:03,348 | INFO  | //amq-broker#5-1 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:42:32,161 | INFO  | .0.1:53325@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:42:32,161 | INFO  | .0.1:53325@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:56:58,010 | INFO  | .0.1:53393@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:56:58,010 | INFO  | .0.1:53393@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:59:28,043 | INFO  | .0.1:53500@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:59:28,044 | INFO  | .0.1:53500@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 20:59:37,829 | INFO  | .0.1:53502@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 20:59:37,829 | INFO  | .0.1:53502@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 21:35:12,546 | INFO  | .0.1:53690@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 21:35:12,547 | INFO  | .0.1:53690@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
2018-04-10 21:35:24,245 | INFO  | .0.1:53692@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - smx
2018-04-10 21:35:24,246 | INFO  | .0.1:53692@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - smx
